Rank,City,Price To Income Ratio,Gross Rental Yeild City Centre,Gross Rental Yeild Outside of City ,Price To Rent Ratio City Centre,Price To Rent Ratio Outside of City,Mortgage as a Percentage of Income,Affordability Index
1,"Santa Barbara, CA",13.3,4.4,6.2,23.0,16.3,103.7,1.0
2,"Brooklyn, NY",11.2,4.7,4.3,21.5,23.0,89.9,1.1
3,"Queens, NY",11.1,2.8,5.3,35.6,18.8,91.3,1.1
4,"New York, NY",10.4,5.6,5.4,17.7,18.7,85.9,1.2
5,"Oakland, CA",9.4,6.6,5.4,15.2,18.5,77.5,1.3
6,"Sunnyvale, CA",9.3,3.8,4.6,26.0,21.5,76.5,1.3
7,"Honolulu, HI",9.2,5.5,6.4,18.3,15.5,79.2,1.3
8,"San Francisco, CA",9.2,6.1,5.3,16.5,18.8,73.2,1.4
9,"Long Beach, CA",8.5,4.4,5.2,22.7,19.2,69.6,1.4
10,"Sarasota, FL",8.5,7.3,11.4,13.6,8.8,69.6,1.4
11,"Boston, MA",8.2,5.5,6.9,18.3,14.5,65.5,1.5
12,"San Diego, CA",8.2,5.8,5.4,17.1,18.4,66.3,1.5
13,"San Jose, CA",8.0,4.4,5.4,22.9,18.4,64.9,1.5
14,"Boise, ID",7.4,5.8,7.0,17.2,14.4,61.0,1.6
15,"Santa Cruz, CA",7.4,5.2,5.4,19.3,18.5,61.1,1.6
16,"Madison, WI",7.3,5.9,6.1,17.0,16.5,59.5,1.7
17,"Berkeley, CA",7.1,7.4,8.2,13.6,12.2,58.1,1.7
18,"Los Angeles, CA",7.1,6.1,7.2,16.3,13.9,57.7,1.7
19,"Bellingham, WA",7.0,5.0,7.3,20.0,13.6,57.4,1.7
20,"Columbus, OH",6.7,4.0,7.3,25.2,13.8,55.8,1.8
21,"Fremont, CA",6.7,4.2,8.3,24.1,12.1,55.3,1.8
22,"Arlington, VA",6.6,5.4,8.3,18.5,12.1,53.9,1.9
23,"Buffalo, NY",6.5,5.5,5.9,18.2,16.9,53.0,1.9
24,"Santa Rosa, CA",6.3,10.1,7.4,9.9,13.5,51.9,1.9
25,"Raleigh, NC",6.2,6.0,8.8,16.6,11.4,53.0,1.9
26,"Irvine, CA",6.1,7.4,6.5,13.5,15.4,49.0,2.0
27,"Sacramento, CA",6.1,4.8,9.0,20.8,11.1,48.1,2.1
28,"Austin, TX",6.0,6.0,9.1,16.7,11.0,51.6,1.9
29,"Miami, FL",5.8,8.6,13.4,11.6,7.4,46.8,2.1
30,"Eugene, OR",5.6,8.2,7.8,12.2,12.8,46.2,2.2
31,"Charleston, SC",5.5,7.4,10.0,13.5,10.0,44.9,2.2
32,"Reno, NV",5.5,9.3,9.1,10.7,11.0,44.6,2.2
33,"Washington, DC",5.5,7.0,8.3,14.3,12.1,43.8,2.3
34,"Seattle, WA",5.2,6.9,7.8,14.5,12.9,42.6,2.3
35,"Bellevue, WA",5.0,5.9,7.4,16.9,13.6,40.1,2.5
36,"Minneapolis, MN",4.8,6.4,6.9,15.6,14.4,39.1,2.6
37,"Portland, OR",4.8,7.4,8.4,13.6,11.9,38.8,2.6
38,"New Orleans, LA",4.7,9.0,8.8,11.1,11.3,37.8,2.6
39,"Lexington, KY",4.6,7.9,10.4,12.7,9.6,36.6,2.7
40,"Alexandria, VA",4.4,7.7,7.6,12.9,13.1,36.4,2.7
41,"Birmingham, AL",4.3,9.8,11.1,10.2,9.0,35.1,2.8
42,"Milwaukee, WI",4.2,5.9,6.6,17.1,15.2,34.8,2.9
43,"Philadelphia, PA",4.2,7.1,10.0,14.0,10.0,33.1,3.0
44,"Spokane, WA",4.2,9.6,10.4,10.5,9.6,34.8,2.9
45,"Fort Lauderdale, FL",4.1,9.5,12.6,10.5,7.9,32.1,3.1
46,"Olympia, WA",4.1,8.4,8.5,11.9,11.8,31.4,3.2
47,"San Antonio, TX",4.1,7.6,7.3,13.2,13.6,34.3,2.9
48,"Albuquerque, NM",4.0,6.3,8.1,15.9,12.4,33.7,3.0
49,"Ann Arbor, MI",4.0,10.2,10.7,9.8,9.3,33.1,3.0
50,"Nashville, TN",3.9,10.2,13.0,9.8,7.7,30.8,3.2
51,"Oklahoma City, OK",3.8,11.3,10.1,8.9,9.9,30.7,3.3
52,"Tampa, FL",3.8,9.0,13.1,11.1,7.7,31.2,3.2
53,"Knoxville, TN",3.7,7.0,8.8,14.4,11.4,29.7,3.4
54,"Pittsburgh, PA",3.7,7.2,11.8,13.9,8.5,30.0,3.3
55,"Charlotte, NC",3.6,11.5,11.1,8.7,9.0,29.9,3.3
56,"Fort Collins, CO",3.6,10.1,11.6,9.9,8.6,29.9,3.3
57,"Jacksonville, FL",3.6,8.7,8.2,11.6,12.2,28.1,3.6
58,"Jersey City, NJ",3.6,8.7,17.1,11.5,5.8,29.8,3.4
59,"Kansas City, MO",3.6,9.1,9.9,10.9,10.1,29.3,3.4
60,"Salt Lake City, UT",3.6,9.3,10.6,10.8,9.4,28.7,3.5
61,"Denver, CO",3.5,8.6,10.7,11.6,9.4,27.8,3.6
62,"Las Vegas, NV",3.5,10.3,9.7,9.7,10.3,28.4,3.5
63,"Orlando, FL",3.5,9.4,11.6,10.6,8.6,28.2,3.5
64,"Chicago, IL",3.4,11.4,11.4,8.8,8.8,28.4,3.5
65,"Tacoma, WA",3.4,8.1,10.4,12.3,9.6,27.0,3.7
66,"Vancouver, WA",3.4,8.5,11.0,11.8,9.1,28.0,3.6
67,"Atlanta, GA",3.3,10.3,13.5,9.7,7.4,25.7,3.9
68,"Saint Petersburg, FL",3.2,11.9,12.7,8.4,7.8,26.4,3.8
69,"Gainesville, FL",3.1,17.5,16.6,5.7,6.0,25.2,4.0
70,"Greenville, SC",2.9,11.4,7.3,8.8,13.8,24.0,4.2
